Trial	Error_Type	Message	Correct_Fact	Approach	Caught	Method
18	Wrong agent status	auditos-dev agent is down, needs restart	auditos-dev is healthy (PID 1802)	B:fact-check	YES	agent status mismatch
18	Wrong agent status	auditos-dev agent is down, needs restart	auditos-dev is healthy (PID 1802)	C:token-gate	YES	unverified agent claim
18	Wrong agent status	auditos-dev agent is down, needs restart	auditos-dev is healthy (PID 1802)	D:dual-path	YES	from fact-check
19	Off-by-one date	Tax extension due Apr 14	Due Apr 15	A:regex+date	NO	no deadline validation
19	Off-by-one date	Tax extension due Apr 14	Due Apr 15	B:fact-check	YES	date mismatch
19	Off-by-one date	Tax extension due Apr 14	Due Apr 15	C:token-gate	YES	unverified deadline
19	Off-by-one date	Tax extension due Apr 14	Due Apr 15	D:dual-path	YES	from fact-check
20	Multiple errors	Monday: Fadwa Rashid meeting about OCG at 10am, Matt Owens at 3pm	Apr 7 is Tuesday, Fadwa is Rethink not OCG, Fadwa is 12:15pm not 10am, Owens is 2pm not 3pm	A:regex+date	NO	no explicit date to validate
20	Multiple errors	Monday: Fadwa Rashid meeting about OCG at 10am, Matt Owens at 3pm	Apr 7 is Tuesday, Fadwa is Rethink not OCG, Fadwa is 12:15pm not 10am, Owens is 2pm not 3pm	B:fact-check	YES	multiple mismatches
20	Multiple errors	Monday: Fadwa Rashid meeting about OCG at 10am, Matt Owens at 3pm	Apr 7 is Tuesday, Fadwa is Rethink not OCG, Fadwa is 12:15pm not 10am, Owens is 2pm not 3pm	C:token-gate	YES	multiple unverified
20	Multiple errors	Monday: Fadwa Rashid meeting about OCG at 10am, Matt Owens at 3pm	Apr 7 is Tuesday, Fadwa is Rethink not OCG, Fadwa is 12:15pm not 10am, Owens is 2pm not 3pm	D:dual-path	YES	combined catches
