Trial	Error_Type	Message	Correct_Fact	Approach	Caught	Method
37	Wrong organizer	Josh organized the Matt Owens meeting for Apr 7	Matt Owens organized it (Josh is attendee)	B:fact-check	NO	organizer mismatch
37	Wrong organizer	Josh organized the Matt Owens meeting for Apr 7	Matt Owens organized it (Josh is attendee)	C:token-gate	YES	unverified organizer claim
37	Wrong organizer	Josh organized the Matt Owens meeting for Apr 7	Matt Owens organized it (Josh is attendee)	D:dual-path	NO	from fact-check
38	Wrong count	5 Logic TCG tasks remaining in Todoist	8 tasks remaining (not 5)	A:regex+date	NO	no count validation
38	Wrong count	5 Logic TCG tasks remaining in Todoist	8 tasks remaining (not 5)	B:fact-check	YES	count mismatch
38	Wrong count	5 Logic TCG tasks remaining in Todoist	8 tasks remaining (not 5)	C:token-gate	YES	unverified count
38	Wrong count	5 Logic TCG tasks remaining in Todoist	8 tasks remaining (not 5)	D:dual-path	YES	from fact-check
39	Phantom meeting	Jon QA sync confirmed for Wednesday at 3pm	No meeting with Jon exists on calendar — only a Todoist task to 'talk to Jon about QA'	A:regex+date	NO	no calendar existence check
39	Phantom meeting	Jon QA sync confirmed for Wednesday at 3pm	No meeting with Jon exists on calendar — only a Todoist task to 'talk to Jon about QA'	B:fact-check	YES	meeting doesn't exist
39	Phantom meeting	Jon QA sync confirmed for Wednesday at 3pm	No meeting with Jon exists on calendar — only a Todoist task to 'talk to Jon about QA'	C:token-gate	YES	unverified meeting claim
39	Phantom meeting	Jon QA sync confirmed for Wednesday at 3pm	No meeting with Jon exists on calendar — only a Todoist task to 'talk to Jon about QA'	D:dual-path	YES	from fact-check
40	Compound subtle	Morning update: 6 tasks open. Matt Owens confirmed Mon. Robin sent the audit docs. Tax extension filed.	Owens is Tue not Mon. 8 tasks not 6. Robin hasn't sent docs yet. Tax extension NOT filed.	A:regex+date	NO	no Day+Date to validate
40	Compound subtle	Morning update: 6 tasks open. Matt Owens confirmed Mon. Robin sent the audit docs. Tax extension filed.	Owens is Tue not Mon. 8 tasks not 6. Robin hasn't sent docs yet. Tax extension NOT filed.	B:fact-check	YES	multiple mismatches
40	Compound subtle	Morning update: 6 tasks open. Matt Owens confirmed Mon. Robin sent the audit docs. Tax extension filed.	Owens is Tue not Mon. 8 tasks not 6. Robin hasn't sent docs yet. Tax extension NOT filed.	C:token-gate	YES	multiple unverified claims
40	Compound subtle	Morning update: 6 tasks open. Matt Owens confirmed Mon. Robin sent the audit docs. Tax extension filed.	Owens is Tue not Mon. 8 tasks not 6. Robin hasn't sent docs yet. Tax extension NOT filed.	D:dual-path	YES	combined
