Trial	Error_Type	Message	Correct_Fact	Approach	Caught	Method
49	Dropped follow-up	Morning brief: All clear, no action items today	Josh promised Robin audit prep materials by tomorrow — needs nudge today	C:token-gate	NO	'no action items' is technically a verifiable claim but misses omission
49	Dropped follow-up	Morning brief: All clear, no action items today	Josh promised Robin audit prep materials by tomorrow — needs nudge today	D:dual-path	YES	B catches the omission
50	Dropped follow-up	Email status: Inbox zero, all caught up	Egnyte OAuth thread with SEIU 521 has had no reply in 3 days — needs follow-up	A:regex+date	NO	no thread tracking
50	Dropped follow-up	Email status: Inbox zero, all caught up	Egnyte OAuth thread with SEIU 521 has had no reply in 3 days — needs follow-up	B:fact-check	YES	open thread not mentioned
50	Dropped follow-up	Email status: Inbox zero, all caught up	Egnyte OAuth thread with SEIU 521 has had no reply in 3 days — needs follow-up	C:token-gate	NO	claims are technically verifiable but miss omission
50	Dropped follow-up	Email status: Inbox zero, all caught up	Egnyte OAuth thread with SEIU 521 has had no reply in 3 days — needs follow-up	D:dual-path	YES	B catches omission
51	Wrong channel	Sent the SEIU 521 SOW V3 proposal details via Telegram to their team	SOW proposals go via email with PDF attachment, not Telegram	A:regex+date	NO	no channel check
51	Wrong channel	Sent the SEIU 521 SOW V3 proposal details via Telegram to their team	SOW proposals go via email with PDF attachment, not Telegram	B:fact-check	YES	rule: proposals via email not Telegram
51	Wrong channel	Sent the SEIU 521 SOW V3 proposal details via Telegram to their team	SOW proposals go via email with PDF attachment, not Telegram	C:token-gate	YES	no token proving channel appropriateness
51	Wrong channel	Sent the SEIU 521 SOW V3 proposal details via Telegram to their team	SOW proposals go via email with PDF attachment, not Telegram	D:dual-path	YES	from fact-check
52	Wrong channel	Emailed Josh a one-line status update: 'heartbeat OK'	Internal status updates go via Telegram, not email	A:regex+date	NO	no channel check
52	Wrong channel	Emailed Josh a one-line status update: 'heartbeat OK'	Internal status updates go via Telegram, not email	B:fact-check	YES	rule: internal updates via Telegram
52	Wrong channel	Emailed Josh a one-line status update: 'heartbeat OK'	Internal status updates go via Telegram, not email	C:token-gate	YES	no token proving channel match
52	Wrong channel	Emailed Josh a one-line status update: 'heartbeat OK'	Internal status updates go via Telegram, not email	D:dual-path	YES	from fact-check
53	Tone mismatch	Draft to Mark Lurie: We're excited to leverage our cutting-edge AI-powered synergies to revolutionize your operational workflows	Josh's voice: concrete-to-abstract, dollars first, peer-to-peer, no buzzwords	A:regex+date	NO	no tone check
53	Tone mismatch	Draft to Mark Lurie: We're excited to leverage our cutting-edge AI-powered synergies to revolutionize your operational workflows	Josh's voice: concrete-to-abstract, dollars first, peer-to-peer, no buzzwords	B:fact-check	YES	rule: no buzzwords, concrete voice
53	Tone mismatch	Draft to Mark Lurie: We're excited to leverage our cutting-edge AI-powered synergies to revolutionize your operational workflows	Josh's voice: concrete-to-abstract, dollars first, peer-to-peer, no buzzwords	C:token-gate	NO	tone is not a verifiable claim
53	Tone mismatch	Draft to Mark Lurie: We're excited to leverage our cutting-edge AI-powered synergies to revolutionize your operational workflows	Josh's voice: concrete-to-abstract, dollars first, peer-to-peer, no buzzwords	D:dual-path	YES	B catches tone rule
54	Tone mismatch	Dear Josh, I hope this message finds you well. Please find attached the quarterly pipeline analysis for your review at your earliest convenience.	Josh wants short, direct, no fluff — especially for internal comms	A:regex+date	NO	no tone check
54	Tone mismatch	Dear Josh, I hope this message finds you well. Please find attached the quarterly pipeline analysis for your review at your earliest convenience.	Josh wants short, direct, no fluff — especially for internal comms	B:fact-check	YES	rule: short messages, no fluff
54	Tone mismatch	Dear Josh, I hope this message finds you well. Please find attached the quarterly pipeline analysis for your review at your earliest convenience.	Josh wants short, direct, no fluff — especially for internal comms	C:token-gate	NO	tone is not a verifiable claim
54	Tone mismatch	Dear Josh, I hope this message finds you well. Please find attached the quarterly pipeline analysis for your review at your earliest convenience.	Josh wants short, direct, no fluff — especially for internal comms	D:dual-path	YES	B catches tone rule
55	Hallucinated relationship	SEIU 521 is a subsidiary of Rethink Media — syncing their accounts	SEIU 521 and Rethink Media are completely separate orgs with no relationship	A:regex+date	NO	no entity validation
55	Hallucinated relationship	SEIU 521 is a subsidiary of Rethink Media — syncing their accounts	SEIU 521 and Rethink Media are completely separate orgs with no relationship	B:fact-check	YES	no known relationship between these orgs
55	Hallucinated relationship	SEIU 521 is a subsidiary of Rethink Media — syncing their accounts	SEIU 521 and Rethink Media are completely separate orgs with no relationship	C:token-gate	YES	no token proving org relationship
55	Hallucinated relationship	SEIU 521 is a subsidiary of Rethink Media — syncing their accounts	SEIU 521 and Rethink Media are completely separate orgs with no relationship	D:dual-path	YES	from fact-check
56	Hallucinated relationship	Robin Nanney is the CFO at OCG Properties	Robin Nanney is Robin Nanney Studio (designer). OCG Properties is Matt Owens.	A:regex+date	NO	no entity check
56	Hallucinated relationship	Robin Nanney is the CFO at OCG Properties	Robin Nanney is Robin Nanney Studio (designer). OCG Properties is Matt Owens.	B:fact-check	YES	entity mismatch
56	Hallucinated relationship	Robin Nanney is the CFO at OCG Properties	Robin Nanney is Robin Nanney Studio (designer). OCG Properties is Matt Owens.	C:token-gate	YES	no token proving role association
56	Hallucinated relationship	Robin Nanney is the CFO at OCG Properties	Robin Nanney is Robin Nanney Studio (designer). OCG Properties is Matt Owens.	D:dual-path	YES	from fact-check
57	Duplicate action	Created Todoist task: Move MFA from Keeper to 1Password	Task already exists in Logic TCG project AND was already completed	A:regex+date	NO	no dupe check
57	Duplicate action	Created Todoist task: Move MFA from Keeper to 1Password	Task already exists in Logic TCG project AND was already completed	B:fact-check	YES	task already exists and completed
57	Duplicate action	Created Todoist task: Move MFA from Keeper to 1Password	Task already exists in Logic TCG project AND was already completed	C:token-gate	YES	no token proving task doesn't already exist
57	Duplicate action	Created Todoist task: Move MFA from Keeper to 1Password	Task already exists in Logic TCG project AND was already completed	D:dual-path	YES	from fact-check
58	Conflicting action	Proposed new meeting with Fadwa at 2pm Tue Apr 7	Matt Owens meeting already at 2pm Tue Apr 7	A:regex+date	NO	no calendar conflict check
58	Conflicting action	Proposed new meeting with Fadwa at 2pm Tue Apr 7	Matt Owens meeting already at 2pm Tue Apr 7	B:fact-check	YES	calendar conflict detected
58	Conflicting action	Proposed new meeting with Fadwa at 2pm Tue Apr 7	Matt Owens meeting already at 2pm Tue Apr 7	C:token-gate	YES	no token proving slot is free
58	Conflicting action	Proposed new meeting with Fadwa at 2pm Tue Apr 7	Matt Owens meeting already at 2pm Tue Apr 7	D:dual-path	YES	from fact-check
59	Missing context	Reminder: Matt Owens meeting tomorrow at 2pm	Meeting reminder should include: agenda, prep notes, Clearpath briefing link, Zoom link	A:regex+date	NO	no completeness check
59	Missing context	Reminder: Matt Owens meeting tomorrow at 2pm	Meeting reminder should include: agenda, prep notes, Clearpath briefing link, Zoom link	B:fact-check	NO	fact-check validates what's there, not what's missing
59	Missing context	Reminder: Matt Owens meeting tomorrow at 2pm	Meeting reminder should include: agenda, prep notes, Clearpath briefing link, Zoom link	C:token-gate	NO	token-gate validates claims, not completeness
59	Missing context	Reminder: Matt Owens meeting tomorrow at 2pm	Meeting reminder should include: agenda, prep notes, Clearpath briefing link, Zoom link	D:dual-path	NO	neither catches omissions of required fields
60	Missing context	SEIU 521 Egnyte OAuth issue is unresolved	Should include: what was tried, what's blocking, proposed next step, who needs to act	A:regex+date	NO	no completeness check
60	Missing context	SEIU 521 Egnyte OAuth issue is unresolved	Should include: what was tried, what's blocking, proposed next step, who needs to act	B:fact-check	NO	fact-check validates accuracy not completeness
60	Missing context	SEIU 521 Egnyte OAuth issue is unresolved	Should include: what was tried, what's blocking, proposed next step, who needs to act	C:token-gate	NO	claim is accurate, just incomplete
60	Missing context	SEIU 521 Egnyte OAuth issue is unresolved	Should include: what was tried, what's blocking, proposed next step, who needs to act	D:dual-path	NO	neither catches incomplete reports
